deposit_chain,deposit_chain_id,withdrawal_chain,withdrawal_chain_id,bridge_name,bridge_version,deposit_block_date,deposit_block_time,deposit_block_number,withdrawal_block_date,withdrawal_block_time,withdrawal_block_number,deposit_amount_raw,deposit_amount,withdrawal_amount_raw,withdrawal_amount,amount_usd,sender,recipient,deposit_token_standard,withdrawal_token_standard,deposit_token_address,withdrawal_token_address,deposit_tx_from,deposit_tx_hash,withdrawal_tx_hash,bridge_transfer_id,duplicate_index
polygon,,hyperliquid,367,LayerZero,1,2025-03-11 00:00:00.000 UTC,2025-03-11 05:34:34.000 UTC,68906008,,,,0.05084201503508711,5.084201503508711e-20,,,1.0632488920257696e-20,0xaa29b6f4f5430f27a8e44a1243ae420ac2763517,0xaa29b6f4f5430f27a8e44a1243ae420ac2763517,native,,0x0000000000000000000000000000000000001010,,0xaa29b6f4f5430f27a8e44a1243ae420ac2763517,0x020bf6e7183b4e47be26a8d31b404ec5f729911875706ed36dbc5623b4cf88b5,,0a6df0cf2fd67cf487866340567df905,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 23:11:21.000 UTC,68895247,,,,0.05181357551175296,5.181357551175296e-20,,,1.0802353290567815e-20,0x5a73c07b0d0c04396ae93d2f23c020c2401dedd5,0x5a73c07b0d0c04396ae93d2f23c020c2401dedd5,native,,0x0000000000000000000000000000000000001010,,0x5a73c07b0d0c04396ae93d2f23c020c2401dedd5,0x01863cb260de783fabfccfb459333d0cb863e62c9d197f4f88761a9fcbd9782b,,ce1ea648f4b59d53a00e5a1d209b1073,1
polygon,,hyperliquid,9029,Orbiter,1,2025-09-23 00:00:00.000 UTC,2025-09-23 18:35:25.000 UTC,76813502,,,,704509029,704.509029,,,704.6316135710459,0xb7329aefaf976c931dc6eba0c6db60dbe5a42aea,0xb7329aefaf976c931dc6eba0c6db60dbe5a42aea,erc20,,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,,0xb7329aefaf976c931dc6eba0c6db60dbe5a42aea,0xdf11047f0d38f5bccb773f7060675454b0cee82c263692a60d683f010934d6da,,0b9d70f3715997684f07adffe2f70b97,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 23:39:51.000 UTC,68896044,,,,0.054728256941750486,5.472825694175049e-20,,,1.1387965160953324e-20,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,native,,0x0000000000000000000000000000000000001010,,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xc17dede38d1514a680589d426a5609094292c2f578643c461e24878901b65c57,,3324bc0debf582b7294d2f29e36c8127,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-10 00:00:00.000 UTC,2025-03-10 15:09:48.000 UTC,68881859,,,,0.045763054200631766,4.576305420063177e-20,,,1.0080136422664758e-20,0xa856ff29cfd1440cd1cc12c6d67a01037ac43359,0xa856ff29cfd1440cd1cc12c6d67a01037ac43359,native,,0x0000000000000000000000000000000000001010,,0xa856ff29cfd1440cd1cc12c6d67a01037ac43359,0x07791e1045667c876908f5d1e98bdf60ac5e7bf02a7ba5e15862d3425d71a428,,d4f6e064642e9843a66a32c56d4f7946,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-11 00:00:00.000 UTC,2025-03-11 03:59:28.000 UTC,68903366,,,,0.054728256941750486,5.472825694175049e-20,,,1.1178410665123361e-20,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,native,,0x0000000000000000000000000000000000001010,,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0x906a258d8527e3ce85ce8664df8b1fc7e0d3a0e196dee0f5bf19f3a438d458ff,,70f439ea6dd3cd0b74e865c2409a2920,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-12 00:00:00.000 UTC,2025-03-12 01:46:32.000 UTC,68939708,,,,0.05084201503508711,5.084201503508711e-20,,,1.1030378529922288e-20,0x6c4fbc94147d78b861f5a87fee562c7e48120f02,0x6c4fbc94147d78b861f5a87fee562c7e48120f02,native,,0x0000000000000000000000000000000000001010,,0x6c4fbc94147d78b861f5a87fee562c7e48120f02,0x9d7be277c97d497050cc264b22213a03e3eaeafd0a2e5bf4bbdf8389a29034c0,,d08136f18a7494493ef46ff90552d503,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-11 00:00:00.000 UTC,2025-03-11 04:10:14.000 UTC,68903666,,,,0.054728256941750486,5.472825694175049e-20,,,1.1258313920258319e-20,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,native,,0x0000000000000000000000000000000000001010,,0xd6f4b3c7a7df4d03a08ce378b62f7f9b96478aa6,0x2b7efb0a2d1fc6f1c0dcce49204ca9a83eb12671a0169bf477698e2d8b15c0c2,,d325ea39027309794cde25d75f6289ac,1
polygon,,hyperliquid,367,LayerZero,1,2025-03-11 00:00:00.000 UTC,2025-03-11 07:53:42.000 UTC,68909880,,,,0.05084201503508711,5.084201503508711e-20,,,1.0749171344763222e-20,0x649acb8eb9349d10d0d5b5e7585eb3c5273e3b8a,0x649acb8eb9349d10d0d5b5e7585eb3c5273e3b8a,native,,0x0000000000000000000000000000000000001010,,0x649acb8eb9349d10d0d5b5e7585eb3c5273e3b8a,0xb7730c8052e42ad3ab079e7ec3a1b15d7f47f9150a7981c3ab4a2880ca870089,,7ace9a921d16c6ae59a67cd0799aab4f,1
polygon,,hyperliquid,367,LayerZero,1,2025-04-04 00:00:00.000 UTC,2025-04-04 21:10:48.000 UTC,69900818,,,,0.05628291535546773,5.628291535546773e-20,,,1.0753976636969218e-20,0x19208a280c28ce54edb009a4aef06f3b8af79d8c,0x19208a280c28ce54edb009a4aef06f3b8af79d8c,native,,0x0000000000000000000000000000000000001010,,0x19208a280c28ce54edb009a4aef06f3b8af79d8c,0x5efeb2101ae481628a685a755c6a7a85a3df6874880da081891f4346529a731f,,b6ce7c5d2af49d8eb80ef6a70f4a0e11,1
